total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling
14	-90.62233808	1.88348943	1260	175	(10, 14, 9)	5.697	1e-05	1040.0	None	None	0.5	None	None	1e-06	-0.001	247.958	1.0
14	-90.62210639	1.8835	1260	175	(10, 14, 9)	5.697	1e-05	1020.0	None	None	0.5	None	None	1e-06	-0.001	255.571	1.0
14	-90.62273366	1.88347206	1260	175	(10, 14, 9)	5.697	1e-05	1080.0	None	None	0.5	None	None	1e-06	-0.001	295.992	1.0
14	-90.62254916	1.88348024	1260	175	(10, 14, 9)	5.697	1e-05	1060.0	None	None	0.5	None	None	1e-06	-0.001	296.083	1.0
14	-90.62288802	1.88346504	1260	175	(10, 14, 9)	5.697	1e-05	1100.0	None	None	0.5	None	None	1e-06	-0.001	322.869	1.0
14	-90.62301122	1.88345992	1260	175	(10, 14, 9)	5.697	1e-05	1120.0	None	None	0.5	None	None	1e-06	-0.001	329.085	1.0
14	-90.62323846	1.88344907	1260	175	(10, 14, 9)	5.697	1e-05	1180.0	None	None	0.5	None	None	1e-06	-0.001	875.214	1.0
14	-90.62318284	1.88345199	1260	175	(10, 14, 9)	5.697	1e-05	1160.0	None	None	0.5	None	None	1e-06	-0.001	881.934	1.0
14	-90.62327697	1.8834471	1260	175	(10, 14, 9)	5.697	1e-05	1200.0	None	None	0.5	None	None	1e-06	-0.001	892.055	1.0
14	-90.6231085	1.88345542	1260	175	(10, 14, 9)	5.697	1e-05	1140.0	None	None	0.5	None	None	1e-06	-0.001	899.853	1.0
