 q-point No.           q_x           q_y           q_z  q-path length
          42      37.306298     234.402383    1244.404156     154.286382
--
 q-point No.           q_x           q_y           q_z  q-path length
           4      0.000000      0.078947      0.000000       0.012503
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1      -0.115361      -0.724835      -3.848029      -0.477095
           2       1.396190       8.772520      46.571884       5.774175
           3       1.656949      10.410919      55.269877       6.852588
           4       3.859064      24.247215     128.724524      15.959800
           5       6.562014      41.230347     218.885209      27.138295
           6       6.901463      43.363174     230.208041      28.542147
           7       7.663857      48.153432     255.638745      31.695151
           8       8.274060      51.987449     275.992919      34.218745
           9       9.121730      57.313520     304.268165      37.724428
          10      10.150199      63.775580     338.574189      41.977831
          11      11.057819      69.478328     368.849151      45.731446
          12      11.231112      70.567160     374.629586      46.448128
          13      13.352418      83.895716     445.388723      55.221139
          14      13.747591      86.378660     458.570269      56.855442
          15      14.642924      92.004205     488.435371      60.558241
          16      15.913496      99.987443     530.817085      65.812901
          17      17.353415     109.034723     578.847624      71.767926
          18      17.683757     111.110321     589.866637      73.134109
          19      17.738213     111.452479     591.683095      73.359321
          20      18.287432     114.903321     610.003056      75.630706
          21      18.767203     117.917811     626.006496      77.614879
          22      19.068086     119.808318     636.042890      78.859232
          23      19.166075     120.423998     639.311436      79.264480
          24      20.026427     125.829748     668.009684      82.822608
          25      21.006769     131.989418     700.710371      86.876974
          26      21.087909     132.499238     703.416919      87.212544
          27      21.682998     136.238292     723.266949      89.673632
          28      21.803844     136.997589     727.297933      90.173411
          29      22.290195     140.053428     743.520886      92.184800
          30      22.460667     141.124531     749.207197      92.889812
          31      22.532410     141.575308     751.600300      93.186519
          32      27.380517     172.036864     913.315750     113.236670
          33      27.460938     172.542159     915.998283     113.569262
          34      27.770013     174.484133     926.307906     114.847491
          35      28.534099     179.285027     951.795073     118.007496
          36      28.954515     181.926581     965.818652     119.746197
          37      31.743787     199.452097    1058.858766     131.281696
          38      34.335030     215.733353    1145.293308     141.998209
          39      35.428817     222.605822    1181.778131     146.521748
          40      35.935822     225.791428    1198.689996     148.618551
          41      36.459091     229.079221    1216.144354     150.782615
          42      37.293213     234.320165    1243.967675     154.232265
--
 q-point No.           q_x           q_y           q_z  q-path length
           5      0.000000      0.105263      0.000000       0.016671
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1      -0.141332      -0.888014      -4.714324      -0.584501
           2       1.857461      11.670770      61.958220       7.681837
           3       2.208657      13.877399      73.672857       9.134266
           4       3.792677      23.830092     126.510085      15.685244
           5       6.605021      41.500571     220.319785      27.316160
           6       6.941167      43.612638     231.532410      28.706347
           7       7.677129      48.236825     256.081464      31.750041
           8       8.233457      51.732334     274.638554      34.050826
           9       9.165347      57.587573     305.723066      37.904812
          10      10.112997      63.541831     337.333252      41.823974
          11      11.073135      69.574562     369.360040      45.794788
          12      11.188396      70.298766     373.204722      46.271467
          13      13.348744      83.872629     445.266157      55.205943
          14      13.741095      86.337847     458.353600      56.828578
          15      14.571465      91.555215     486.051758      60.262710
          16      15.767114      99.067699     525.934316      65.207515
          17      17.352941     109.031740     578.831788      71.765963
          18      17.716915     111.318656     590.972654      73.271238
          19      17.764068     111.614931     592.545527      73.466249
          20      18.273449     114.815468     609.536661      75.572880
          21      18.743924     117.771544     625.229988      77.518604
          22      19.130274     120.199058     638.117264      79.116422
          23      19.161099     120.392734     639.145460      79.243902
          24      20.043899     125.939533     668.592511      82.894869
          25      21.011400     132.018518     700.864859      86.896129
          26      21.073664     132.409734     702.941759      87.153631
          27      21.675556     136.191536     723.018729      89.642857
          28      21.791935     136.922765     726.900705      90.124161
          29      22.239486     139.734812     741.829405      91.975083
          30      22.458277     141.109516     749.127490      92.879929
          31      22.624607     142.154596     754.675649      93.567813
          32      27.301829     171.542450     910.690988     112.911241
          33      27.463381     172.557510     916.079777     113.579366
          34      27.753316     174.379228     925.750983     114.778442
          35      28.593799     179.660139     953.786482     118.254399
          36      28.938332     181.824904     965.278864     119.679272
          37      31.733126     199.385107    1058.503132     131.237603
          38      34.348556     215.818341    1145.744498     142.054149
          39      35.392095     222.375089    1180.553207     146.369877
          40      35.939632     225.815369    1198.817093     148.634309
          41      36.468485     229.138249    1216.457727     150.821468
          42      37.275359     234.207983    1243.372118     154.158426
--
 q-point No.           q_x           q_y           q_z  q-path length
           6      0.000000      0.131579      0.000000       0.020839
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1      -0.154604      -0.971404      -5.157027      -0.639390
           2       2.315122      14.546339      77.224152       9.574570
           3       2.759729      17.339888      92.054646      11.413316
           4       3.709844      23.309640     123.747092      15.342677
           5       6.652908      41.801455     221.917134      27.514206
           6       6.997208      43.964756     233.401742      28.938115
           7       7.691695      48.328347     256.567342      31.810282
           8       8.187617      51.444316     273.109514      33.861249
           9       9.216684      57.910134     307.435492      38.117126
          10      10.065879      63.245782     335.761578      41.629111
          11      11.091212      69.688137     369.962995      45.869545
          12      11.133674      69.954937     371.379393      46.045156
          13      13.339166      83.812450     444.946673      55.166332
          14      13.733088      86.287536     458.086506      56.795463
          15      14.487945      91.030445     483.265838      59.917300
          16      15.585780      97.928343     519.885656      64.457577
          17      17.352366     109.028128     578.812613      71.763586
          18      17.757537     111.573894     592.327673      73.439239
          19      17.795073     111.809740     593.579741      73.594475
          20      18.257499     114.715251     609.004622      75.506916
          21      18.715971     117.595915     624.297599      77.403003
          22      19.153474     120.344825     638.891120      79.212368
          23      19.204752     120.667014     640.601566      79.424436
          24      20.065780     126.077012     669.322367      82.985360
          25      21.017461     132.056598     701.067019      86.921193
          26      21.057762     132.309819     702.411325      87.087866
          27      21.666274     136.133213     722.709106      89.604469
          28      21.776871     136.828114     726.398217      90.061860
          29      22.181584     139.371003     739.898003      91.735619
          30      22.448652     141.049041     748.806436      92.840124
          31      22.737310     142.862730     758.435017      94.033915
          32      27.210403     170.968001     907.641330     112.533132
          33      27.466314     172.575937     916.177600     113.591494
          34      27.732917     174.251053     925.070519     114.694075
          35      28.660391     180.078546     956.007734     118.529799
          36      28.918067     181.697571     964.602876     119.595460
          37      31.720249     199.304201    1058.073612     131.184349
          38      34.365168     215.922719    1146.298626     142.122852
          39      35.347817     222.096885    1179.076266     146.186760
          40      35.943926     225.842343    1198.960298     148.652064
          41      36.479190     229.205509    1216.814796     150.865739
          42      37.253188     234.068685    1242.632606     154.066738
--
 q-point No.           q_x           q_y           q_z  q-path length
           7      0.000000      0.157895      0.000000       0.025007
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1      -0.147511      -0.926841      -4.920451      -0.610058
           2       2.768177      17.392968      92.336440      11.448254
           3       3.309864      20.796489     110.405182      13.688492
           4       3.612148      22.695792     120.488271      14.938635
           5       6.701306      42.105546     223.531500      27.714361
           6       7.072264      44.436348     235.905350      29.248522
           7       7.706039      48.418473     257.045803      31.869603
           8       8.139254      51.140438     271.496275      33.661233
           9       9.274039      58.270507     309.348653      38.354327
          10      10.009247      62.889954     333.872543      41.394901
          11      11.067118      69.536751     369.159309      45.769900
          12      11.111015      69.812563     370.623549      45.951443
          13      13.319480      83.688759     444.290021      55.084917
          14      13.723807      86.229224     457.776938      56.757081
          15      14.398826      90.470491     480.293134      59.548732
          16      15.372658      96.589258     512.776670      63.576176
          17      17.351522     109.022829     578.784482      71.760098
          18      17.804328     111.867893     593.888461      73.632752
          19      17.830306     112.031118     594.754998      73.740188
          20      18.240731     114.609892     608.445290      75.437567
          21      18.684495     117.398143     623.247661      77.272827
          22      19.142710     120.277190     638.532056      79.167849
          23      19.289087     121.196907     643.414681      79.773218
          24      20.091551     126.238938     670.182007      83.091941
          25      21.025015     132.104065     701.319012      86.952436
          26      21.041107     132.205173     701.855777      87.018987
          27      21.655358     136.064623     722.344971      89.559322
          28      21.758836     136.714800     725.796653      89.987276
          29      22.117157     138.966194     737.748937      91.469169
          30      22.431748     140.942830     748.242578      92.770214
          31      22.867428     143.680287     762.775295      94.572041
          32      27.109185     170.332029     904.265058     112.114528
          33      27.469586     172.596499     916.286761     113.605028
          34      27.709549     174.104227     924.291044     114.597433
          35      28.730618     180.519797     958.350263     118.820236
          36      28.894141     181.547244     963.804812     119.496513
          37      31.705684     199.212688    1057.587782     131.124114
          38      34.384347     216.043223    1146.938362     142.202169
          39      35.297570     221.781170    1177.400188     145.978953
          40      35.948506     225.871122    1199.113078     148.671007
          41      36.490515     229.276666    1217.192558     150.912576
          42      37.227269     233.905826    1241.768015     153.959543
--
 q-point No.           q_x           q_y           q_z  q-path length
           8      0.000000      0.184211      0.000000       0.029174
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1      -0.098196      -0.616986      -3.275480      -0.406108
           2       3.215556      20.203933     107.259399      13.298465
           3       3.501256      21.999040     116.789331      14.480025
           4       3.858660      24.244678     128.711055      15.958130
           5       6.747160      42.393654     225.061020      27.903998
           6       7.167439      45.034347     239.080027      29.642132
           7       7.718574      48.497231     257.463917      31.921443
           8       8.090813      50.836079     269.880481      33.460900
           9       9.336040      58.660069     311.416772      38.610741
          10       9.943453      62.476558     331.677893      41.122799
          11      10.988959      69.045666     366.552221      45.446663
          12      11.131456      69.940998     371.305391      46.035981
          13      13.284374      83.468182     443.119012      54.939731
          14      13.713525      86.164618     457.433953      56.714556
          15      14.311900      89.924320     477.393599      59.189236
          16      15.130510      95.067795     504.699471      62.574731
          17      17.350249     109.014828     578.742007      71.754832
          18      17.855877     112.191781     595.607930      73.845939
          19      17.868746     112.272643     596.037214      73.899163
          20      18.224254     114.506364     607.895675      75.369424
          21      18.650933     117.187265     622.128143      77.134024
          22      19.128513     120.187992     638.058518      79.109138
          23      19.381145     121.775322     646.485392      80.153937
          24      20.120549     126.421135     671.149258      83.211865
          25      21.024344     132.099850     701.296637      86.949662
          26      21.034127     132.161316     701.622947      86.990119
          27      21.643052     135.987306     721.934506      89.508431
          28      21.738059     136.584250     725.103585      89.901346
          29      22.046796     138.524105     735.401959      91.178181
          30      22.407805     140.792390     747.443918      92.671193
          31      23.011980     144.588535     767.597031      95.169860
          32      27.000191     169.647204     900.629433     111.663768
          33      27.473021     172.618081     916.401340     113.619234
          34      27.684046     173.943992     923.440382     114.491964
          35      28.802100     180.968929     960.734634     119.115860
          36      28.867087     181.377254     962.902363     119.384624
          37      31.689986     199.114054    1057.064154     131.059193
          38      34.405517     216.176237    1147.644512     142.289721
          39      35.242920     221.437794    1175.577262     145.752939
          40      35.953242     225.900882    1199.271070     148.690595
          41      36.501859     229.347940    1217.570942     150.959489
          42      37.198266     233.723595    1240.800579     153.839596
--
 q-point No.           q_x           q_y           q_z  q-path length
           9      0.000000      0.210526      0.000000       0.033342
 frequencies
branch index         f[THz]      f[2PiTHz]        f[cm-1]         f[meV]
           1       0.129712       0.815005       4.326729       0.536446
           2       3.378855      21.229973     112.706477      13.973816
           3       3.656089      22.971883     121.953993      15.120361
           4       4.405588      27.681124     146.954586      18.220038
           5       6.789316      42.658529     226.467198      28.078341
           6       7.281729      45.752450     242.892320      30.114796
           7       7.727675      48.554412     257.767480      31.959080
           8       8.044613      50.545794     268.339405      33.269831
           9       9.401487      59.071287     313.599863      38.881410
          10       9.868734      62.007083     329.185527      40.813785
          11      10.899505      68.483611     363.568359      45.076711
          12      11.151468      70.066739     371.972928      46.118744
          13      13.228390      83.116428     441.251607      54.708202
          14      13.702536      86.095570     457.067391      56.669109
          15      14.235292      89.442977     474.838229      58.872411
          16      14.861713      93.378893     495.733368      61.463077
          17      17.348454     109.003550     578.682131      71.747408
          18      17.909062     112.525957     597.382017      74.065897
          19      17.910704     112.536274     597.436789      74.072688
          20      18.209060     114.410898     607.388862      75.306587
          21      18.617063     116.974458     620.998385      76.993952
          22      19.110831     120.076894     637.468716      79.036012
          23      19.479116     122.390897     649.753383      80.559116
          24      20.151984     126.618651     672.197838      83.341873
