total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)
14	-90.60665409	-0.05825252	-89.79111881	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825261	-89.79111755000001	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825258	-89.79111797	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825258	-89.79111797	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.0582526	-89.79111769000001	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825248	-89.79111937	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825258	-89.79111797	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.0582526	-89.79111769000001	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825308	-89.79111097	1260	(10, 14, 9)	600.0
14	-90.60665409	-0.05825314	-89.79111013	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825251	-89.7921908	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825252	-89.79219065999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825261	-89.7921894	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825258	-89.79218981999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825258	-89.79218981999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.0582526	-89.79218954	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825248	-89.79219121999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825258	-89.79218981999999	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.0582526	-89.79218954	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825308	-89.79218282	1260	(10, 14, 9)	600.0
14	-90.60772594	-0.05825314	-89.79218198	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825251	-89.79185781000001	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825252	-89.79185767	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825261	-89.79185641000001	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825258	-89.79185683	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825258	-89.79185683	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.0582526	-89.79185655	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825248	-89.79185823	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825258	-89.79185683	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.0582526	-89.79185655	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825308	-89.79184983	1260	(10, 14, 9)	600.0
14	-90.60739295	-0.05825314	-89.79184899	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.05825251	-89.79172123000001	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.05825252	-89.79172109	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.05825261	-89.79171983	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.05825258	-89.79172025	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.05825258	-89.79172025	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.0582526	-89.79171997	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.05825248	-89.79172165	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.05825258	-89.79172025	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.0582526	-89.79171997	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.05825308	-89.79171325	1260	(10, 14, 9)	600.0
14	-90.60725637	-0.05825314	-89.79171241	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.05825251	-89.79246377000001	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.05825252	-89.79246363	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.05825261	-89.79246237000001	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.05825258	-89.79246279	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.05825258	-89.79246279	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.0582526	-89.79246251000001	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.05825248	-89.79246419	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.05825258	-89.79246279	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.0582526	-89.79246251000001	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.05825308	-89.79245579	1260	(10, 14, 9)	600.0
14	-90.60799891	-0.05825314	-89.79245495	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.05825251	-89.79250504000001	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.05825252	-89.7925049	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.05825261	-89.79250364	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.05825258	-89.79250406	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.05825258	-89.79250406	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.0582526	-89.79250378	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.05825248	-89.79250546	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.05825258	-89.79250406	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.0582526	-89.79250378	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.05825308	-89.79249706	1260	(10, 14, 9)	600.0
14	-90.60804018	-0.05825314	-89.79249622	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.05825251	-89.79209366	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.05825252	-89.79209352	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.05825261	-89.79209226	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.05825258	-89.79209268	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.05825258	-89.79209268	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.0582526	-89.7920924	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.05825248	-89.79209408	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.05825258	-89.79209268	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.0582526	-89.7920924	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.05825308	-89.79208568	1260	(10, 14, 9)	600.0
14	-90.6076288	-0.05825314	-89.79208484	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.05825251	-89.79248772000001	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.05825252	-89.79248758	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.05825261	-89.79248632000001	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.05825258	-89.79248674	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.05825258	-89.79248674	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.0582526	-89.79248646	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.05825248	-89.79248814	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.05825258	-89.79248674	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.0582526	-89.79248646	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.05825308	-89.79247974	1260	(10, 14, 9)	600.0
14	-90.60802286	-0.05825314	-89.7924789	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.05825251	-89.79227439	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.05825252	-89.79227424999999	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.05825261	-89.79227299	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.05825258	-89.79227340999999	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.05825258	-89.79227340999999	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.0582526	-89.79227313	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.05825248	-89.79227481	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.05825258	-89.79227340999999	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.0582526	-89.79227313	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.05825308	-89.79226641	1260	(10, 14, 9)	600.0
14	-90.60780953	-0.05825314	-89.79226557	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.05825251	-89.79242424	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.05825252	-89.79242409999999	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.05825261	-89.79242284	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.05825258	-89.79242325999999	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.05825258	-89.79242325999999	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.0582526	-89.79242298	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.05825248	-89.79242466	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.05825258	-89.79242325999999	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.0582526	-89.79242298	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.05825308	-89.79241626	1260	(10, 14, 9)	600.0
14	-90.60795938	-0.05825314	-89.79241542	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.05825251	-89.78976548	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.05825252	-89.78976533999999	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.05825261	-89.78976408	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.05825258	-89.78976449999999	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.05825258	-89.78976449999999	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.0582526	-89.78976422	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.05825248	-89.78976589999999	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.05825258	-89.78976449999999	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.0582526	-89.78976422	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.05825308	-89.7897575	1260	(10, 14, 9)	600.0
14	-90.60530062	-0.05825314	-89.78975666	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.05825251	-89.79249346	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.05825252	-89.79249331999999	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.05825261	-89.79249206	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.05825258	-89.79249247999999	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.05825258	-89.79249247999999	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.0582526	-89.7924922	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.05825248	-89.79249388	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.05825258	-89.79249247999999	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.0582526	-89.7924922	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.05825308	-89.79248548	1260	(10, 14, 9)	600.0
14	-90.6080286	-0.05825314	-89.79248464	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.05825251	-89.79071364	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.05825252	-89.7907135	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.05825261	-89.79071224	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.05825258	-89.79071266	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.05825258	-89.79071266	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.0582526	-89.79071238	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.05825248	-89.79071406	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.05825258	-89.79071266	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.0582526	-89.79071238	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.05825308	-89.79070566	1260	(10, 14, 9)	600.0
14	-90.60624878	-0.05825314	-89.79070482	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.05825251	-89.79064170000001	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.05825252	-89.79064156	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.05825261	-89.7906403	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.05825258	-89.79064072	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.05825258	-89.79064072	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.0582526	-89.79064044	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.05825248	-89.79064212	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.05825258	-89.79064072	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.0582526	-89.79064044	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.05825308	-89.79063372	1260	(10, 14, 9)	600.0
14	-90.60617684	-0.05825314	-89.79063288	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.05825251	-89.79176956	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.05825252	-89.79176942	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.05825261	-89.79176816	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.05825258	-89.79176858	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.05825258	-89.79176858	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.0582526	-89.7917683	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.05825248	-89.79176998	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.05825258	-89.79176858	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.0582526	-89.7917683	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.05825308	-89.79176158	1260	(10, 14, 9)	600.0
14	-90.6073047	-0.05825314	-89.79176074	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.05825251	-89.79245544000001	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.05825252	-89.7924553	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.05825261	-89.79245404000001	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.05825258	-89.79245446	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.05825258	-89.79245446	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.0582526	-89.79245418000001	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.05825248	-89.79245586	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.05825258	-89.79245446	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.0582526	-89.79245418000001	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.05825308	-89.79244746	1260	(10, 14, 9)	600.0
14	-90.60799058	-0.05825314	-89.79244662	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.05825251	-89.79236518	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.05825252	-89.79236503999999	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.05825261	-89.79236378	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.05825258	-89.7923642	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.05825258	-89.7923642	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.0582526	-89.79236392	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.05825248	-89.7923656	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.05825258	-89.7923642	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.0582526	-89.79236392	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.05825308	-89.7923572	1260	(10, 14, 9)	600.0
14	-90.60790032	-0.05825314	-89.79235636	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.05825251	-89.79251387000001	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.05825252	-89.79251373	1260	(10, 14, 9)	600.0
14	-90.60804901	-0.05825261	-89.79251247	1260	(10, 14, 9)	600.0
